voiceID,meanF0Hz,stdevF0Hz,HNR,CPPs,Jitter,Shimmer,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
voice095.wav,164.15564755423753,0.8756441307216181,14.922706851128604,18.201320752037812,-0.09311918407859548,0.6635033764427529,-92.41681671142578,63.79182815551758,-23.731361389160156,-40.022377014160156,-16.23187255859375,19.902734756469727,-42.158424377441406,23.666431427001953,-30.916351318359375,-10.918472290039062,-32.180213928222656,-3.7897422313690186,-15.905102729797363,-16.98455810546875
voice096.wav,163.36362514603138,0.9378725785733193,14.405456822571255,18.58587548906138,-0.719781561689773,0.8940092657479944,-97.06166076660156,63.93598175048828,-28.54218292236328,-40.209983825683594,-11.377740859985352,19.469642639160156,-43.00530242919922,21.383100509643555,-31.012779235839844,-8.553923606872559,-30.871774673461914,-7.150973320007324,-14.044727325439453,-17.934431076049805
voice097.wav,136.86338866974884,44.33312483351905,17.521547809202175,15.684437038870419,0.313618178822588,-0.39094872549501725,-109.70740509033203,82.7275161743164,-22.669586181640625,-25.641387939453125,-18.44274139404297,-39.41676712036133,-40.79958724975586,-4.147098541259766,5.445317268371582,-19.99455451965332,-14.821917533874512,-4.1197075843811035,-27.329782485961914,-16.139122009277344
voice098.wav,177.3593069791461,0.7759033311591855,21.563575569670803,16.28889930930335,-0.3240238025662256,-0.26254411918409726,-123.2948989868164,82.9898452758789,-3.660665273666382,-33.36695861816406,-14.158244132995605,-41.128902435302734,-42.12248992919922,-2.88679575920105,1.6538034677505493,-14.922324180603027,-18.199275970458984,-0.983616292476654,-25.837011337280273,-17.835737228393555
voice099.wav,176.30323720527682,1.621619399291114,21.11812945053841,16.46440446112668,-0.18644045462717493,0.20848552297999354,-126.00284576416016,83.53858947753906,-3.7131242752075195,-42.71202087402344,-10.616182327270508,-31.88888168334961,-50.10455322265625,-4.0173115730285645,7.678695201873779,-12.22597599029541,-17.38086700439453,-9.020721435546875,-19.579038619995117,-18.30694580078125
voice100.wav,132.36534423093093,48.315467495907804,1.2198260283070421,10.949234213787397,8.13322231583506,-0.40333469453766674,-94.4499282836914,61.713809967041016,-42.523189544677734,-92.13321685791016,9.023202896118164,-8.121908187866211,-22.671096801757812,0.4126618504524231,-19.2666072845459,2.116736888885498,-40.29697036743164,-13.906389236450195,-19.2308292388916,-17.9903621673584
voice101.wav,167.938813572374,35.74748993046641,7.001432808363234,14.177679545619418,4.714499183223304,-0.5261047129356567,-113.69151306152344,45.33540725708008,-36.597599029541016,-89.57605743408203,10.868602752685547,-2.043382167816162,-19.142330169677734,-0.6732866168022156,-19.839155197143555,4.062091827392578,-35.53374099731445,-15.978960037231445,-16.509492874145508,-16.720067977905273
voice102.wav,181.643592973877,3.02191651357384,16.63519966885301,19.295134642835084,-0.13412096106767238,-0.9368946871862385,-135.0991973876953,39.523475646972656,-42.12427520751953,-89.0327377319336,15.708319664001465,2.7577707767486572,-19.69452476501465,-4.041439056396484,-19.440759658813477,2.210986852645874,-34.656307220458984,-13.669370651245117,-15.258848190307617,-15.026008605957031
voice103.wav,188.59356019334206,1.3464404991339665,12.06177006401799,12.784747836178393,0.9385454204134526,-0.8082641554280503,-115.50279235839844,40.54291915893555,-28.10654640197754,-31.403791427612305,-1.387251615524292,-5.5693135261535645,-12.78072452545166,-6.250537395477295,-35.251014709472656,-5.224465370178223,-12.518243789672852,-16.923398971557617,-15.165499687194824,-10.31438159942627
voice104.wav,185.84360180288942,1.6345790109009635,11.491551651507194,12.507139999350628,1.1395172556588162,-0.812296979490508,-131.92916870117188,39.20408248901367,-22.868118286132812,-25.57916259765625,-1.5220905542373657,-3.931626796722412,-12.788240432739258,-7.245672702789307,-33.11359786987305,-6.1604838371276855,-11.329900741577148,-14.255786895751953,-17.578134536743164,-8.164994239807129
